soft constraints score
1.0
id,Course,Professors,Class,Room, Day,Start,End
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-06-11
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-06-14
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-06-18
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-06-17
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-06-18
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-06-20
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-06-19
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-17
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-06-19
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-06-20
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-06-17
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-06-18
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-06-21
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-06-25
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-06-24
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-06-25
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-06-27
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-06-26
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-24
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-06-26
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-06-27
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-06-24
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-06-25
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-06-28
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-07-02
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-07-01
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-07-02
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-07-04
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-07-03
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-01
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-07-03
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-07-04
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-07-01
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-02
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-05
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-07-09
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-07-08
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-07-09
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-07-11
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-07-10
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-08
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-07-10
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-07-11
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-07-08
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-09
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-12
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-07-16
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-07-15
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-07-16
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-07-18
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-07-17
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-15
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-07-17
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-07-18
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-07-15
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-16
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-19
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-07-23
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-07-22
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-07-23
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-07-25
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-07-24
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-22
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-07-24
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-07-25
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-07-22
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-23
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-26
